dataset;method;preprocessing;n_neighbors;subset;score
Iemocap;first_try;raw;71;train;0.5609711573566996
Iemocap;first_try;raw;72;train;0.5609711573566996
Iemocap;first_try;raw;73;train;0.5613362541073385
Iemocap;first_try;raw;74;train;0.5613362541073385
Iemocap;first_try;raw;75;train;0.5620664476086162
Iemocap;first_try;normalized;2;train;0.7099306316173786
Iemocap;first_try;normalized;3;train;0.6942314713399049
Iemocap;first_try;normalized;4;train;0.6600949251551661
Iemocap;first_try;normalized;5;train;0.6451259583789705
Iemocap;first_try;normalized;6;train;0.6343556042351223
Iemocap;first_try;normalized;7;train;0.6228550565899964
Iemocap;first_try;normalized;8;train;0.6129974443227455
Iemocap;first_try;normalized;9;train;0.6111719605695509
Iemocap;first_try;normalized;10;train;0.6069733479372034
Iemocap;first_try;normalized;11;train;0.5987586710478277
Iemocap;first_try;normalized;12;train;0.5932822197882439
Iemocap;first_try;normalized;13;train;0.5945600584154801
Iemocap;first_try;normalized;14;train;0.5848849945235487
Iemocap;first_try;normalized;15;train;0.5823293172690763
Iemocap;first_try;normalized;16;train;0.5839722526469514
Iemocap;first_try;normalized;17;train;0.579408543263965
Iemocap;first_try;normalized;18;train;0.5788608981380066
Iemocap;first_try;normalized;19;train;0.5777656078860898
Iemocap;first_try;normalized;20;train;0.5775830595107704
Iemocap;first_try;normalized;21;train;0.5781307046367288
Iemocap;first_try;normalized;22;train;0.5748448338809785
Iemocap;first_try;normalized;23;train;0.5719240598758671
Iemocap;first_try;normalized;24;train;0.5706462212486308
Iemocap;first_try;normalized;25;train;0.5682730923694779
Iemocap;first_try;normalized;26;train;0.5686381891201169
Iemocap;first_try;normalized;27;train;0.5699160277473531
Iemocap;first_try;normalized;28;train;0.5708287696239503
Iemocap;first_try;normalized;29;train;0.5662650602409639
Iemocap;first_try;normalized;30;train;0.5671778021175612
Iemocap;first_try;normalized;31;train;0.5644395764877692
Iemocap;first_try;normalized;32;train;0.5642570281124498
Iemocap;first_try;normalized;33;train;0.56078860898138
Iemocap;first_try;normalized;34;train;0.5627966411098941
Iemocap;first_try;normalized;35;train;0.5606060606060606
Iemocap;first_try;normalized;36;train;0.5631617378605329
Iemocap;first_try;normalized;37;train;0.5606060606060606
Iemocap;first_try;normalized;38;train;0.559145673603505
Iemocap;first_try;normalized;39;train;0.5580503833515882
Iemocap;first_try;normalized;40;train;0.559145673603505
Iemocap;first_try;normalized;41;train;0.559145673603505
Iemocap;first_try;normalized;42;train;0.558780576852866
Iemocap;first_try;normalized;43;train;0.559145673603505
Iemocap;first_try;normalized;44;train;0.5585980284775466
Iemocap;first_try;normalized;45;train;0.5573201898503103
Iemocap;first_try;normalized;46;train;0.5573201898503103
Iemocap;first_try;normalized;47;train;0.558780576852866
Iemocap;first_try;normalized;48;train;0.5589631252281855
Iemocap;first_try;normalized;49;train;0.558780576852866
Iemocap;first_try;normalized;50;train;0.5595107703541439
Iemocap;first_try;normalized;51;train;0.5584154801022271
Iemocap;first_try;normalized;52;train;0.56078860898138
Iemocap;first_try;normalized;53;train;0.5578678349762687
Iemocap;first_try;normalized;54;train;0.5582329317269076
Iemocap;first_try;normalized;55;train;0.5565899963490325
Iemocap;first_try;normalized;56;train;0.5565899963490325
Iemocap;first_try;normalized;57;train;0.5569550930996714
Iemocap;first_try;normalized;58;train;0.5571376414749909
Iemocap;first_try;normalized;59;train;0.5569550930996714
Iemocap;first_try;normalized;60;train;0.5573201898503103
Iemocap;first_try;normalized;61;train;0.5565899963490325
Iemocap;first_try;normalized;62;train;0.558780576852866
Iemocap;first_try;normalized;63;train;0.5575027382256298
Iemocap;first_try;normalized;64;train;0.5589631252281855
Iemocap;first_try;normalized;65;train;0.5585980284775466
Iemocap;first_try;normalized;66;train;0.5585980284775466
Iemocap;first_try;normalized;67;train;0.5589631252281855
Iemocap;first_try;normalized;68;train;0.5589631252281855
Iemocap;first_try;normalized;69;train;0.5573201898503103
Iemocap;first_try;normalized;70;train;0.5571376414749909
Iemocap;first_try;normalized;71;train;0.5575027382256298
Iemocap;first_try;normalized;72;train;0.5573201898503103
Iemocap;first_try;normalized;73;train;0.5578678349762687
Iemocap;first_try;normalized;74;train;0.5578678349762687
Iemocap;first_try;normalized;75;train;0.5575027382256298
Iemocap;first_try;standardized;2;train;0.7438846294267981
Iemocap;first_try;standardized;3;train;0.7546549835706462
Iemocap;first_try;standardized;4;train;0.7039065352318364
Iemocap;first_try;standardized;5;train;0.7026286966046003
Iemocap;first_try;standardized;6;train;0.6794450529390288
Iemocap;first_try;standardized;7;train;0.6798101496896678
Iemocap;first_try;standardized;8;train;0.6646586345381527
Iemocap;first_try;standardized;9;train;0.655713764147499
Iemocap;first_try;standardized;10;train;0.6471339905074844
Iemocap;first_try;standardized;11;train;0.6484118291347207
Iemocap;first_try;standardized;12;train;0.6440306681270537
Iemocap;first_try;standardized;13;train;0.6370938298649143
Iemocap;first_try;standardized;14;train;0.6361810879883169
Iemocap;first_try;standardized;15;train;0.6352683461117196
Iemocap;first_try;standardized;16;train;0.6312522818546915
Iemocap;first_try;standardized;17;train;0.6292442497261774
Iemocap;first_try;standardized;18;train;0.6268711208470245
Iemocap;first_try;standardized;19;train;0.6239503468419131
Iemocap;first_try;standardized;20;train;0.6206644760861628
Iemocap;first_try;standardized;21;train;0.6161007667031764
Iemocap;first_try;standardized;22;train;0.6161007667031764
Iemocap;first_try;standardized;23;train;0.6111719605695509
Iemocap;first_try;standardized;24;train;0.610806863818912
Iemocap;first_try;standardized;25;train;0.6113545089448704
Iemocap;first_try;standardized;26;train;0.6091639284410368
Iemocap;first_try;standardized;27;train;0.6080686381891202
Iemocap;first_try;standardized;28;train;0.6044176706827309
Iemocap;first_try;standardized;29;train;0.6046002190580504
Iemocap;first_try;standardized;30;train;0.6038700255567725
